pair_id,claim_company,claim_text,evidence_text,evidence_kind_label,evidence_date,relation,about_claim_company,note
2f274900b2d1,ACG,Cải tiến liên tục để luôn theo theo đuổi sự hoàn hảo. Điều đó cũng giúp cho mỗi con người hạn chế tối đa “tính ì”. Và sự cải tiến đóng vai trò hết sức quan trọng nhằm quyết định cho sự phát triển cũng như đột phá thành công và tiến đến vững bền phát triển của An Cường.,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
624b2dfe53d1,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".",Tỷ lệ trả cổ tức bằng cổ phiếu năm 2021 Tỷ lệ trả cổ tức bằng cổ phiếu 50.0 percent achieved,KPIObservation,2021,,,
46bf4fbbc276,ACG,An Cường đã có những bước tiến vượt bậc so với mục tiêu được hoạch định đầu năm.,"[LIVE] ĐHĐCĐ Gỗ An Cường: Công ty đã không còn nợ xấu, sắp thu hồi được bằng bất động sản",MediaReport,2026-05-07,,,
ea40abedc3f3,ACG,"Công ty công bố tên của bên liên quan, mối quan hệ, bản chất, giá trị cho mỗi giao dịch bên liên quan trọng yếu.",Nhóm liên quan VinaCapital giao dịch trái chiều 133.200 cổ phiếu Gỗ An Cường (ACG),MediaReport,2026-05-26,,,
910c562b3346,ACG,An Cường đã minh chứng được chữ “Tầm” bằng cách tạo được chỗ đứng vững chắc trong ngành vật liệu nội thất tại thị trường Việt Nam cũng như quốc tế.,Gỗ An Cường 'gần như chắc chắn' đạt 600 tỷ đồng lợi nhuận cho năm 2022,MediaReport,2022-12-24,,,
76df95010ebe,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Số lượng cổ phiếu phát hành để trả cổ tức năm 2021 Số lượng cổ phiếu phát hành 43.82 triệu cổ phiếu achieved,KPIObservation,2022,,,
1675a1b36313,ACG,An Cường đã có những bước tiến vượt bậc so với mục tiêu được hoạch định đầu năm.,Lãi ròng tăng 12% so với cùng kỳ nửa đầu năm 2025 Tăng trưởng lợi nhuận ròng 12 percent achieved,KPIObservation,2025,,,
58c58efb7370,ACG,"thực hiện chi trả cổ tức năm 2024 đợt 2 và tạm ứng cổ tức năm 2025 đợt 1 bằng tiền mặt, với tổng giá trị chi trả hơn 300 tỷ đồng",Dòng tiền kinh doanh âm năm 2025 operating cash flow -377.0 tỷ đồng achieved,KPIObservation,2025,,,
eb1990002dda,ACG,"BTGĐ đã chủ động, sáng tạo và linh hoạt trong công tác điều hành, triển khai các chiến lược kinh doanh linh hoạt nhằm nắm bắt tốt các cơ hội kinh doanh, đảm bảo tuân thủ các nguyên tắc quản trị rủi ro qua đó hoàn thành vượt kế hoạch kinh doanh mà ĐHĐCĐ thường niên 2022 đã thông qua.",Hoàn thành kế hoạch doanh thu năm 2022 revenue plan completion 93.1 percent achieved,KPIObservation,2022,,,
d01d215ad7a9,ACG,Công ty trả cổ tức (kỳ giữa và kỳ cuối hàng năm) một cách bình đẳng và kịp thời; tất cả cổ đông được đối xử bình đẳng và được trả trong vòng 30 ngày sau khi được công bố đối với cổ tức giữa kỳ và được cổ đông thông qua tại các ĐHĐCĐ đối với cổ tức cuối năm.,"Thị giá trên 100.000 đồng/cp, Gỗ An Cường (ACG) chốt danh sách cổ đông phát hành 44 triệu cổ phiếu trả cổ tức tỷ lệ 50%",MediaReport,2022-04-05,,,
e4f4c2d097e6,ACG,"BTGĐ đã chủ động, sáng tạo và linh hoạt trong công tác điều hành, triển khai các chiến lược kinh doanh linh hoạt nhằm nắm bắt tốt các cơ hội kinh doanh, đảm bảo tuân thủ các nguyên tắc quản trị rủi ro qua đó hoàn thành vượt kế hoạch kinh doanh mà ĐHĐCĐ thường niên 2022 đã thông qua.",Tỷ lệ hoàn thành kế hoạch doanh thu năm revenue target achievement 44 percent achieved,KPIObservation,2025,,,
bd611b8946e0,ACG,Tình hình tuân thủ tiêu chí B.1.4: Công ty có công bố mục tiêu bền vững về mặt định lượng không? - Xanh,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
33f29a919c5f,ACG,"Mọi nhân viên luôn được tuyển chọn, đào tạo, định hướng và sắp xếp công việc hợp lý nhất theo phương châm “đúng người - đúng việc"" nhằm giúp họ say mê sáng tạo và tận tâm trong công việc, điều đó sẽ góp phần mang lại những sản phẩm tốt cùng với chất lượng dịch vụ tốt nhất đến với khách hàng. Và đó cũng làm yếu tố làm nên giá trị của doanh nghiệp.",Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
cba0ed858265,ACG,Tình hình tuân thủ tiêu chí B.1.4: Công ty có công bố mục tiêu bền vững về mặt định lượng không? - Xanh,"An Cường – 30 năm phát triển bền vững, tiên phong hướng tới mục tiêu Net Zero 2050 - CafeLand.Vn...",MediaReport,2026-01-17,,,
e6b85cd7e98c,ACG,"Chú trọng công tác đào tạo, phát triển nguồn nhân lực và xây dựng môi trường làm việc tốt.",Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
14738a36450d,ACG,"Công ty luôn chú trọng quan tâm đến các vấn đề về phúc lợi, bảo vệ môi trường, lợi ích chung của Cộng đồng và trách nhiệm xã hội của Công ty, thể hiện qua việc đạt được chứng nhận Green Label do Singapore cấp - chứng chỉ danh giá nhất tại khu vực về sản phẩm xanh, sạch, thân thiện và bảo vệ môi trường; chứng nhận ISO 14001:2015; chứng nhận ISO 9001:2015, thực hiện kiểm kê phát thải khí nhà kính theo tiêu chuẩn ISO 14064-1:2018.",Đạt danh hiệu Nơi làm việc tốt nhất châu Á Nơi làm việc tốt nhất châu Á achieved,KPIObservation,2026,,,
2653336ba830,ACG,"BTGĐ đã chủ động, sáng tạo và linh hoạt trong công tác điều hành, triển khai các chiến lược kinh doanh linh hoạt nhằm nắm bắt tốt các cơ hội kinh doanh, đảm bảo tuân thủ các nguyên tắc quản trị rủi ro qua đó hoàn thành vượt kế hoạch kinh doanh mà ĐHĐCĐ thường niên 2022 đã thông qua.",Hoàn thành 112% kế hoạch lợi nhuận sau thuế hoàn thành kế hoạch lợi nhuận sau thuế 112.0 phần trăm achieved,KPIObservation,2025,,,
67735655d094,ACG,"Cung cấp sản phẩm chất lượng cao, thân thiện với môi trường và sức khỏe người tiêu dùng",Chất lượng tương đương với dòng sản phẩm 50 triệu/m2 giá trị tương đương 50 triệu VND/m2 achieved,KPIObservation,2026,,,
7452afd38bc0,ACG,"Mang đến các giải pháp cho gỗ ngành nội thất, phục vụ tối đa mọi nhu cầu trang trí và làm đẹp ngôi nhà của khách hàng.",Thị phần mảng gỗ công nghiệp và nội thất làm từ gỗ công nghiệp phân khúc trung và cao cấp tại thị trường trong nước thị phần 55.0 percent achieved,KPIObservation,2022,,,
579f970059b1,ACG,"Cung cấp sản phẩm chất lượng cao, thân thiện với môi trường và sức khỏe người tiêu dùng",Chất lượng tương đương với dòng sản phẩm 60 triệu/m2 giá trị tương đương 60 triệu VND/m2 achieved,KPIObservation,2026,,,
77d07915e68a,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".","Thị giá trên 100.000 đồng/cp, Gỗ An Cường (ACG) chốt danh sách cổ đông phát hành 44 triệu cổ phiếu trả cổ tức tỷ lệ 50%",MediaReport,2022-04-05,,,
ef6a746cf01f,ACG,"Công ty không trả cổ tức bằng phương thức ""Script dividend"".",Giá trị phát hành cổ phiếu trả cổ tức năm 2021 theo mệnh giá Giá trị phát hành cổ phiếu trả cổ tức theo mệnh giá 438.0 tỷ đồng achieved,KPIObservation,2022,,,
e4dada16b9f3,ACG,"khẳng định vị thế là Công ty số 1 tại Việt Nam, khu vực Đông Nam Á và mở rộng sang các thị trường khác trên toàn cầu.",Thị phần mảng gỗ công nghiệp và nội thất làm từ gỗ công nghiệp phân khúc trung và cao cấp tại thị trường trong nước thị phần 55.0 percent achieved,KPIObservation,2022,,,
84dee9a984ca,ACG,An Cường đã minh chứng được chữ “Tầm” bằng cách tạo được chỗ đứng vững chắc trong ngành vật liệu nội thất tại thị trường Việt Nam cũng như quốc tế.,An Cường giới thiệu hệ sinh thái nội thất tại triển lãm A80,MediaReport,2025-09-03,,,
97fbf313f1cb,ACG,"Công ty công bố Báo cáo tài chính hợp nhất và báo cáo tài chính riêng hàng quý bằng song ngữ (tiếng Việt và tiếng Anh). Bên cạnh đó, Công ty công bố báo cáo IR định kỳ hàng quý.",Gỗ An Cường (ACG) báo lãi cao nhất 6 quý dù doanh thu sụt giảm,MediaReport,2025-07-30,,,
78251789dc88,ACG,"Con người được xem là trung tâm của mọi sự vận động trong doanh nghiệp, quyết định tới sự phát triển bền vững của doanh nghiệp hay xã hội. Và con người cũng chính là tài sản của doanh nghiệp. Công ty luôn có cơ chế tốt để thu hút nhân tài tạo môi trường làm việc thật tốt để từng cá nhân hoà đồng và chuyên nghiệp hơn trong một tập thể lớn.",7 lần được vinh danh Top 100 Doanh nghiệp Bền vững (CSI) Top 100 Doanh nghiệp Bền vững (CSI) 7.0 lần achieved,KPIObservation,2026,,,
