pair_id,claim_company,claim_text,evidence_text,evidence_kind_label,evidence_date,relation,about_claim_company,note
8f97195afbea,AGG,Thông qua kế hoạch tổ chức và dự thảo chương trình họp Đại hội đồng cổ đông thường niên,"Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
a3f5be43dafd,AGG,"Doanh thu được ghi nhận khi Tập đoàn có khả năng nhận được các lợi ích kinh tế có thể xác định được một cách chắc chắn. Doanh thu được xác định theo giá trị hợp lý của các khoản đã thu hoặc sẽ thu được sau khi trừ đi các khoản chiết khấu thương mại, giảm giá hàng bán và hàng bán bị trả lại.",Giảm doanh thu tài chính quý I/2026 so với cùng kỳ financial revenue growth -27.3 percent achieved,KPIObservation,2026,,,
403ac1b1baf3,ACG,Tình hình tuân thủ tiêu chí A.8.1: Công ty có chính sách yêu cầu một Tiểu ban gồm Thành viên HĐQT độc lập rà soát giao dịch bên liên quan trọng yếu/quan trọng để xác định liệu những giao dịch đó có phục vụ lợi ích tốt nhất của Công ty và cổ đông? - Xanh,Phạt tiền 3 tỷ đồng và cấm giao dịch chứng khoán 2 năm do giúp sức ông Hồ Thành Trung thao túng thị trường chứng khoán cổ phiếu AGG,Penalty,2025-10-01,,,
1d48c03f0504,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Dùng 92 tài khoản chứng khoán để thao túng cổ phiếu AGG,MediaReport,2025-10-02,,,
92f417641b53,AGG,Triển khai phương án phát hành cổ phiếu để chi trả cổ tức cho Cổ đông,Tỷ lệ trả cổ tức bằng cổ phiếu năm 2021 Tỷ lệ trả cổ tức bằng cổ phiếu 50.0 percent achieved,KPIObservation,2021,,,
00a7b50e0e6b,ACG,"Trong các trường hợp sáp nhập, mua lại hoặc thâu tóm cần được cổ đông thông qua, HĐQT của Công ty đã bổ nhiệm một bên độc lập để đánh giá sự hợp lý của giá giao dịch sáp nhập, mua lại trong năm 2025.","Phạt 1,5 tỷ đồng, cấm giao dịch chứng khoán và đảm nhiệm chức vụ trong 2 năm do thao túng cổ phiếu AGG",Penalty,2025-10-01,,,
731096377a9f,ACG,"Tình hình tuân thủ tiêu chí A.9.2: Đối với những giao dịch bên liên quan được chấp thuận bởi ĐHĐCĐ, có được thông qua bởi những cổ đông không có liên quan lợi ích? - Xanh",Nhóm liên quan VinaCapital giao dịch trái chiều 133.200 cổ phiếu Gỗ An Cường (ACG),MediaReport,2026-05-26,,,
2fde131e1b64,ACG,HĐQT xem xét và đánh giá tổng thể sức khỏe tài chính và các chỉ tiêu về cấu trúc vốn và nợ của Công ty trong phần Báo cáo của HĐQT hàng năm trình ĐHĐCĐ thông qua.,Giảm chi phí tài chính quý I/2026 so với cùng kỳ financial expenses growth -77.3 percent achieved,KPIObservation,2026,,,
cfcf8052bd71,AGG,tiếp tục có những bước tiến mạnh mẽ,Dòng tiền kinh doanh chính quý I/2026 operating cash flow -121.7 tỷ đồng achieved,KPIObservation,2026,,,
f7da86f9fabe,ADP,"Là môi trường giúp các thành viên phát huy tối đa tiềm năng, gia tăng giá trị bản thân và đóng góp cho sự phát triển của Công ty.",năng suất lao động tăng 15%-20% labor_productivity 17.5 percent achieved,KPIObservation,2025,,,
d8187ff5113b,ACG,"Nghị quyết của ĐHĐCĐ số 09-2022/NQ-GAC ngày 06/06/2022 thông qua phương án chia cổ tức năm 2021, Kế hoạch chi trả cổ tức năm 2022.",Giá trị phát hành cổ phiếu trả cổ tức năm 2021 theo mệnh giá Giá trị phát hành cổ phiếu trả cổ tức theo mệnh giá 438.0 tỷ đồng achieved,KPIObservation,2022,,,
46bf4fbbc276,ACG,An Cường đã có những bước tiến vượt bậc so với mục tiêu được hoạch định đầu năm.,"[LIVE] ĐHĐCĐ Gỗ An Cường: Công ty đã không còn nợ xấu, sắp thu hồi được bằng bất động sản",MediaReport,2026-05-07,,,
