ticker,company,candidates,articles,sentences,articles_recount,sentences_recount,labeled_sentences,esg_sentences
HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,130,40,3789,40,3789,3789,2055
SHI,CTCP Quốc tế Sơn Hà,595,40,3376,40,3376,3376,1338
HT1,CTCP Xi Măng Vicem Hà Tiên,68,40,3090,40,3090,3090,547
SC5,CTCP Xây dựng Số 5,118,40,3051,40,3051,3051,1636
VCA,CTCP Thép VICASA,92,40,2971,40,2971,2971,1174
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,462,40,2739,40,2739,2739,1355
LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,408,40,2726,40,2726,2726,1358
NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,409,40,2713,40,2713,2713,1363
QCG,CTCP Quốc Cường Gia Lai,551,40,2712,40,2712,2712,658
CSM,CTCP Công nghiệp Cao su Miền Nam,126,40,2699,40,2699,2699,1369
BRC,CTCP Cao su Bến Thành,136,40,2671,40,2671,2671,1545
EVG,CTCP Tập đoàn EverLand,238,40,2371,40,2371,2371,383
DXS,CTCP Dịch vụ Bất động sản Đất Xanh,3130,40,2320,40,2320,2320,1079
TPC,CTCP Nhựa Tân Đại Hưng,139,40,2254,40,2254,2254,848
C32,CTCP Đầu tư và Xây dựng 3-2,101,40,2251,40,2251,2251,1074
KOS,CTCP KOSY,150,40,2205,40,2205,2205,496
CTI,CTCP Đầu tư Phát triển Cường Thuận IDICO,307,40,1938,40,1938,1938,670
TAL,CTCP Đầu tư Bất động sản Taseco,1240,40,1917,40,1917,1917,208
THG,CTCP Đầu tư và Xây dựng Tiền Giang,229,39,1914,39,1914,1914,1090
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,240,40,1909,40,1909,1909,755
SAM,CTCP SAM Holdings,151,40,1905,40,1905,1905,927
TEG,CTCP Trường Thành Energy Group,448,40,1902,40,1902,1902,1006
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,178,40,1894,40,1894,1894,1297
FIT,CTCP Tập đoàn F.I.T,534,40,1874,40,1874,1874,1013
OGC,CTCP Tập đoàn Đại Dương,475,40,1824,40,1824,1824,737
SGR,CTCP Tổng CTCP Địa ốc Sài Gòn,551,40,1814,40,1814,1814,473
GTA,CTCP Chế biến gỗ Thuận An,67,40,1800,40,1800,1800,1156
BCE,CTCP Xây dựng và Giao thông Bình Dương,126,40,1752,40,1752,1752,748
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,66,40,1752,40,1752,1752,1091
CRV,CTCP Tập đoàn Bất động sản CRV,137,40,1730,40,1730,1730,639
TCO,CTCP Janus Group,72,40,1711,40,1711,1711,341
DTT,CTCP Kỹ nghệ Đô Thành,114,40,1708,40,1708,1708,1174
SJS,CTCP SJ Group,85,40,1698,40,1698,1698,408
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,143,40,1689,40,1689,1689,542
FCM,CTCP Bê tông Phan Vũ Hà Nam,96,40,1680,40,1680,1680,772
REE,CTCP Cơ Điện Lạnh,1526,40,1665,40,1665,1665,748
DTA,CTCP Đệ Tam,154,40,1592,40,1592,1592,1120
NKG,CTCP Thép Nam Kim,241,40,1588,40,1588,1588,632
HDG,CTCP Tập đoàn Hà Đô,659,40,1578,40,1578,1578,901
HID,CTCP Halcom Việt Nam,108,40,1571,40,1571,1571,781
MDG,CTCP Miền Đông,238,40,1535,40,1535,1535,903
